123,Pichincha,2025-06-02,968.36,40.31,36.23,30.53
123,Pichincha,2025-06-03,2056.13,23.55,27.33,24.66
123,Pichincha,2025-06-04,1733.42,36.89,26.94,16.73
123,Pichincha,2025-06-05,2426.05,41.39,8.35,38.51
123,Pichincha,2025-06-06,1857.83,59.32,20.00,24.94
123,Pichincha,2025-06-07,1417.57,42.23,37.57,26.84
123,Pichincha,2025-06-08,817.29,50.28,37.91,38.14
123,Pichincha,2025-06-09,1517.98,65.64,26.14,22.12
123,Pichincha,2025-06-10,1717.14,64.98,46.19,34.53
123,Pichincha,2025-06-11,1412.18,61.11,28.07,6.44
123,Pichincha,2025-06-12,1885.04,23.14,49.24,24.90
123,Pichincha,2025-06-13,1064.02,59.24,29.80,21.03
123,Pichincha,2025-06-14,917.35,70.83,30.98,23.35
123,Pichincha,2025-06-15,2309.56,37.30,11.02,23.73
123,Pichincha,2025-06-16,1202.45,48.10,31.38,35.00
123,Pichincha,2025-06-17,1274.93,25.79,46.66,18.62
123,Pichincha,2025-06-18,840.91,60.67,39.11,37.44
123,Pichincha,2025-06-19,1049.19,44.96,23.50,21.93
123,Pichincha,2025-06-20,1152.17,45.07,23.82,13.86
123,Pichincha,2025-06-21,2298.11,78.03,36.01,15.04
123,Pichincha,2025-06-22,1640.85,47.74,39.44,20.36
123,Pichincha,2025-06-23,1822.05,21.30,11.45,30.43
123,Pichincha,2025-06-24,1476.76,44.91,38.00,28.44
123,Pichincha,2025-06-25,2486.51,74.07,44.53,28.41
123,Pichincha,2025-06-26,1632.09,40.14,23.30,25.50
123,Pichincha,2025-06-27,2182.23,48.11,31.47,25.56
123,Pichincha,2025-06-28,1225.39,26.85,7.24,33.05
123,Pichincha,2025-06-29,1376.24,59.52,9.56,8.49
123,Pichincha,2025-06-30,1617.87,66.50,12.90,5.37
123,Pichincha,2025-07-01,959.91,11.01,16.93,38.74
123,Pichincha,2025-07-02,354.00,5.00,7.00,8.00
123,Pichincha,2025-07-03,442.00,3.00,2.00,3.00
123,Pichincha,2025-07-04,4.00,3.00,5.00,4.00
123,Pichincha,2025-07-04,3.00,4.00,5.00,3.00
123,Pichincha,2025-07-04,4.00,5.00,6.00,4.00
123,Pichincha,2025-07-04,4.00,3.00,5.00,3.00
234,Cuenca,2025-06-03,2394.27,75.98,36.93,25.60
234,Cuenca,2025-06-04,2305.80,16.91,22.94,33.62
234,Cuenca,2025-06-05,463.49,77.74,40.78,30.69
234,Cuenca,2025-06-06,491.66,36.42,9.25,19.91
234,Cuenca,2025-06-07,2222.01,33.17,9.77,11.15
234,Cuenca,2025-06-08,2339.92,50.78,17.26,32.89
234,Cuenca,2025-06-09,1249.03,40.47,11.46,38.25
234,Cuenca,2025-06-10,1038.72,15.68,11.80,17.07
234,Cuenca,2025-06-11,1113.54,20.41,12.33,24.38
234,Cuenca,2025-06-12,2482.41,22.79,10.34,10.77
234,Cuenca,2025-06-13,1537.92,12.86,53.34,24.03
234,Cuenca,2025-06-14,764.09,32.77,29.39,9.25
234,Cuenca,2025-06-15,1178.31,17.70,44.80,19.26
234,Cuenca,2025-06-16,895.41,78.33,28.75,25.71
234,Cuenca,2025-06-17,2417.24,10.28,23.34,22.30
234,Cuenca,2025-06-18,1154.86,39.13,25.41,34.35
234,Cuenca,2025-06-19,906.76,13.57,13.40,12.99
234,Cuenca,2025-06-20,1625.73,17.30,12.00,23.94
234,Cuenca,2025-06-21,2319.25,44.75,57.13,17.97
234,Cuenca,2025-06-22,2219.37,65.14,50.27,30.12
234,Cuenca,2025-06-23,2465.90,34.08,35.60,28.25
234,Cuenca,2025-06-24,530.42,14.80,52.63,8.11
234,Cuenca,2025-06-25,2380.84,47.77,20.26,35.13
234,Cuenca,2025-06-26,359.38,6.12,19.31,25.65
234,Cuenca,2025-06-27,1870.58,17.04,26.59,32.16
234,Cuenca,2025-06-28,1863.67,56.68,4.46,21.29
234,Cuenca,2025-06-29,1302.61,71.95,18.21,32.82
234,Cuenca,2025-06-30,2124.20,77.51,22.21,26.89
234,Cuenca,2025-07-01,2384.28,79.12,4.32,13.76
234,Cuenca,2025-07-02,1429.30,45.97,46.40,9.58
456,Guayaquil,2025-06-02,823.62,28.82,29.98,38.09
456,Guayaquil,2025-06-03,2043.83,12.15,11.34,31.92
456,Guayaquil,2025-06-04,2185.61,71.15,13.50,22.84
456,Guayaquil,2025-06-05,2140.74,15.19,29.14,23.10
456,Guayaquil,2025-06-06,2463.92,44.10,49.23,21.85
456,Guayaquil,2025-06-07,1970.78,42.30,47.91,30.18
456,Guayaquil,2025-06-08,1062.88,46.07,18.23,28.31
456,Guayaquil,2025-06-09,1013.62,58.43,43.34,15.30
456,Guayaquil,2025-06-10,2472.37,38.76,41.21,6.04
456,Guayaquil,2025-06-11,1407.22,75.34,32.78,12.80
456,Guayaquil,2025-06-12,2435.84,43.66,22.86,25.51
456,Guayaquil,2025-06-13,1522.18,48.22,16.86,8.85
456,Guayaquil,2025-06-14,2490.49,22.14,25.71,28.75
456,Guayaquil,2025-06-15,1873.32,46.69,30.36,31.71
456,Guayaquil,2025-06-16,1514.36,43.59,17.83,29.82
456,Guayaquil,2025-06-17,1479.43,49.16,49.94,39.50
456,Guayaquil,2025-06-18,899.17,13.73,29.92,16.97
456,Guayaquil,2025-06-19,1538.09,37.11,17.07,35.72
456,Guayaquil,2025-06-20,811.28,28.82,49.38,17.88
456,Guayaquil,2025-06-21,1369.70,55.94,17.36,23.40
456,Guayaquil,2025-06-22,1404.65,53.77,48.27,26.11
456,Guayaquil,2025-06-23,1898.47,58.96,18.73,5.13
456,Guayaquil,2025-06-24,2196.28,46.43,31.88,27.34
456,Guayaquil,2025-06-25,1975.47,42.58,47.15,26.77
456,Guayaquil,2025-06-26,1106.09,68.14,22.69,6.67
456,Guayaquil,2025-06-27,2076.10,17.04,5.87,23.08
456,Guayaquil,2025-06-28,2311.77,49.14,45.04,31.00
456,Guayaquil,2025-06-29,1098.46,21.92,9.13,24.29
456,Guayaquil,2025-06-30,1098.80,68.61,39.45,5.03
456,Guayaquil,2025-07-01,2104.13,19.93,42.03,29.28
456,Guayaquil,2025-07-02,2104.13,13.93,12.03,39.28
456,Guayaquil,2025-07-04,32.00,12.00,32.00,2.00
567,Manabi,2025-06-03,1460.03,5.43,43.70,9.94
